category,sub_category
Women,Dresses
Women,Tops & blouses
Women,Sweaters
Women,Jeans
Women,Pants
Women,Skirts
Women,Coats & jackets
Women,Suits & blazers
Women,Athletic apparel
Women,Swimwear
Women,Women's handbags
Women,Women's accessories
Women,Jewelry
Women,Maternity
Women,Shoes
Women,Underwear
Women,Other
Men,Tops
Men,Sweats & hoodies
Men,Sweaters
Men,Jeans
Men,Pants
Men,Shorts
Men,Coats & jackets
Men,Blazers & sport coats
Men,Suits
Men,Athletic apparel
Men,Swimwear
Men,Men's accessories
Men,Shoes
Men,Other
Toys,Action Figures & Accessories
Toys,Dolls & Accessories
Toys,Collectibles & Hobbies
Toys,Building Toys
Toys,Electronics for Kids
Toys,Games & Puzzles
Toys,Sports & Outdoor Play
Toys,Remote Control Toys & Vehicles
Toys,Stuffed Animals & Plush
Toys,Arts & Crafts
Toys,Baby & Toddler Toys
Toys,Learning & Education Toys
Toys,Dress Up & Pretend Play
Toys,Novelty & Gag Toys
Toys,Trading Cards
Toys,Vintage & Antique Toys
Toys,Vintage & Antique Collectibles
Toys,Handmade Toys
Toys,Handmade Dolls & Miniatures
Toys,Other
Kids,Girls 0-24 mos
Kids,Girls 2t-5t
Kids,Girls (4+)
Kids,Boys 0-24 mos
Kids,Boys 2t-5t
Kids,Boys (4+)
Kids,Bathing & skin care
Kids,Car seats & accessories
Kids,Diapering
Kids,Feeding
Kids,Gear
Kids,Health & baby care
Kids,Nursery
Kids,Potty training
Kids,Pregnancy & maternity
Kids,Safety
Kids,Strollers
Kids,Other
Electronics,Cameras & photography
Electronics,Computers & Laptops
Electronics,Cell phones & accessories
Electronics,TV & Video
Electronics,Video games & consoles
Electronics,"Car audio, video & gps"
Electronics,Media
Electronics,Wearables
Electronics,Smart Home & Security
Electronics,Speakers & Audio
Electronics,Headphones & MP3 Players
Electronics,Tablets & E-readers
Electronics,Drones
Electronics,Virtual Reality
Electronics,Other
Home,Kids' home store
Home,Kitchen & dining
Home,Bedding
Home,Bath
Home,Furniture
Home,Home décor
Home,Artwork
Home,Seasonal decor
Home,Home appliances
Home,Party Supplies
Home,Storage & organization
Home,Cleaning supplies
Home,Other
Beauty,Makeup
Beauty,Fragrance
Beauty,Skin care
Beauty,Tools & accessories
Beauty,Hair care
Beauty,Bath & body
Beauty,Other
Sports,Outdoors
Sports,Exercise
Sports,Fan shop
Sports,Team sports
Sports,Golf
Sports,Apparel
Sports,Footwear
Sports,Other
Vintage,Jewelry
Vintage,Clothing
Vintage,Home décor
Vintage,Accessories
Vintage,Housewares
Vintage,Supplies
Vintage,Antique
Vintage,Paper ephemera
Vintage,Serving
Vintage,Book
Vintage,Bags and purses
Vintage,Electronics
Vintage,Furniture
Vintage,Trading cards
Vintage,Other
Handmade,Housewares
Handmade,Art
Handmade,Woodworking
Handmade,Ceramics and pottery
Handmade,Glass
Handmade,Weddings
Handmade,Holidays
Handmade,Children
Handmade,Needlecraft
Handmade,Geekery
Handmade,Paper goods
Handmade,Candles
Handmade,Patterns
Handmade,Crochet
Handmade,Furniture
Handmade,Quilts
Handmade,Accessories
Handmade,Pets
Handmade,Knitting
Handmade,Bags and purses
Handmade,Jewelry
Handmade,Books and zines
Handmade,Clothing
Handmade,Music
Handmade,Others
Handmade,Other
Other,Office supplies
Other,Daily & travel items
Other,Books
Other,Automotive
Other,Musical instruments
Other,Pet supplies
Other,Magazines
Other,Other
